size_graph,NP,read_time,tarjan_time,communication_time,aggregation_time,write_time,global_time
48000,8,3.091,9.889,6.355,82.527,0.047,101.910
48000,8,3.102,9.821,6.406,83.872,0.047,103.248
48000,8,3.093,9.884,6.292,83.167,0.010,102.446
48000,8,3.091,9.857,6.411,82.660,0.009,102.027
48000,8,3.079,9.840,6.136,83.012,0.010,102.076
48000,8,3.079,9.899,6.475,82.935,0.010,102.397
48000,8,3.079,9.910,6.595,82.745,0.047,102.377
