size_graph,NP,read_time,tarjan_time,communication_time,aggregation_time,write_time,global_time
32000,2,2.476,56.539,2.430,36.181,0.001,97.627
32000,2,1.630,56.591,2.320,35.186,0.001,95.728
32000,2,1.565,56.481,2.341,35.247,0.001,95.635
32000,2,1.564,56.546,2.324,36.027,0.001,96.462
32000,2,1.559,56.538,2.323,35.182,0.001,95.603
32000,2,1.561,56.752,2.330,35.341,0.001,95.985
32000,2,1.578,56.617,2.335,35.761,0.001,96.292
