size_graph,NP,read_time,tarjan_time,communication_time,aggregation_time,write_time,global_time
32000,4,1.443,11.016,1.355,33.030,0.001,46.845
32000,4,0.702,11.076,1.347,32.509,0.001,45.635
32000,4,0.633,11.067,1.309,32.545,0.001,45.556
32000,4,0.453,11.069,1.300,32.693,0.001,45.516
32000,4,0.453,11.003,1.296,32.695,0.001,45.448
32000,4,0.452,11.060,1.301,32.628,0.001,45.442
32000,4,0.452,11.092,1.301,32.490,0.001,45.335
