size_graph,NP,read_time,tarjan_time,communication_time,aggregation_time,write_time,global_time
24000,2,0.940,23.301,0.803,13.911,0.001,38.957
24000,2,0.474,23.342,0.791,13.965,0.001,38.573
24000,2,0.442,23.398,0.797,14.006,0.001,38.644
24000,2,0.451,23.404,0.804,13.937,0.001,38.597
24000,2,0.438,23.323,0.796,13.937,0.001,38.495
24000,2,0.449,23.325,0.791,13.872,0.001,38.438
24000,2,0.450,23.431,0.794,13.882,0.001,38.558
