size_graph,NP,read_time,tarjan_time,communication_time,aggregation_time,write_time,global_time
24000,2,1.331,29.100,1.333,20.577,0.001,52.341
24000,2,0.860,29.114,1.308,20.643,0.001,51.926
24000,2,0.853,29.103,1.304,21.051,0.001,52.312
24000,2,0.852,29.073,1.307,20.570,0.001,51.802
24000,2,0.849,29.146,1.301,20.715,0.001,52.011
24000,2,0.861,29.073,1.305,20.618,0.001,51.858
24000,2,0.850,29.209,1.310,20.797,0.001,52.167
